Year,Month_AR,Month_EN,Number of Issued Reports from BML
2017,يناير,January," 3,995 "
2017,فبراير ,February," 3,530 "
2017,مارس,March," 3,701 "
2017,ابريل,April," 3,796 "
2017,مايو ,May," 4,129 "
2017,يونيو,June," 2,960 "
2017,يوليو,July," 3,390 "
2017,اغسطس,August," 3,383 "
2017,سبتمبر,September," 3,077 "
2017,اكتوبر,October," 3,425 "
2017,نوفمبر,November," 3,479 "
2017,ديسيمبر,December," 3,427 "
2018,يناير,January," 3,907 "
2018,فبراير ,February," 3,419 "
2018,مارس,March," 3,718 "
2018,ابريل,April," 4,081 "
2018,مايو ,May," 3,481 "
2018,يونيو,June," 2,550 "
2018,يوليو,July," 3,349 "
2018,اغسطس,August," 2,789 "
2018,سبتمبر,September," 2,703 "
2018,اكتوبر,October," 3,063 "
2018,نوفمبر,November," 2,921 "
2018,ديسيمبر,December," 2,749 "
2019,يناير,January," 2,941 "
2019,فبراير ,February," 2,439 "
2019,مارس,March," 2,489 "
2019,ابريل,April," 2,364 "
2019,مايو ,May," 2,379 "
2019,يونيو,June," 1,735 "
2019,يوليو,July," 2,201 "
2019,اغسطس,August," 1,972 "
2019,سبتمبر,September," 2,247 "
2019,اكتوبر,October," 2,511 "
2019,نوفمبر,November," 2,310 "
2019,ديسيمبر,December," 2,296 "
2020,يناير,January," 2,898 "
2020,فبراير ,February," 3,470 "
2020,مارس,March," 3,085 "
2020,ابريل,April," 2,637 "
2020,مايو ,May," 2,007 "
2020,يونيو,June," 2,114 "
2020,يوليو,July," 2,296 "
2020,اغسطس,August," 2,397 "
2020,سبتمبر,September," 2,670 "
2020,اكتوبر,October," 3,134 "
2020,نوفمبر,November," 3,855 "
2020,ديسيمبر,December," 3,530 "
2021,يناير,January," 3,967 "
2021,فبراير ,February," 3,657 "
2021,مارس,March," 4,491 "
2021,ابريل,April," 3,947 "
2021,مايو ,May," 3,797 "
2021,يونيو,June," 4,146 "
2021,يوليو,July," 3,580 "
2021,اغسطس,August," 4,260 "
2021,سبتمبر,September," 4,599 "
2021,اكتوبر,October," 4,600 "
2021,نوفمبر,November," 4,937 "
2021,ديسيمبر,December," 4,877 "
2022,يناير,January," 4,683 "
2022,فبراير ,February," 4,698 "
2022,مارس,March," 5,758 "
2022,ابريل,April," 4,099 "
2022,مايو ,May," 3,827 "
2022,يونيو,June," 4,830 "
2022,يوليو,July," 4,340 "
2022,اغسطس,August," 5,112 "
2022,سبتمبر,September," 5,531 "
