Year,Month_AR,Month_EN,Park Name_EN,Park Name_AR, Numne of parks visitors 
2017,يناير,January,Mizari Park,حديقة مزيرع," 1,121       "
2017,فبراير ,February,Mizari Park,حديقة مزيرع, 675       
2017,مارس,March,Mizari Park,حديقة مزيرع," 1,450       "
2017,ابريل,April,Mizari Park,حديقة مزيرع," 1,853       "
2017,مايو ,May,Mizari Park,حديقة مزيرع," 2,486       "
2017,يونيو,June,Mizari Park,حديقة مزيرع," 2,054       "
2017,يوليو,July,Mizari Park,حديقة مزيرع," 2,034       "
2017,اغسطس,August,Mizari Park,حديقة مزيرع," 1,611       "
2017,سبتمبر,September,Mizari Park,حديقة مزيرع," 1,435       "
2017,اكتوبر,October,Mizari Park,حديقة مزيرع," 1,362       "
2017,نوفمبر,November,Mizari Park,حديقة مزيرع," 1,278       "
2017,ديسيمبر,December,Mizari Park,حديقة مزيرع," 1,009       "
2017,يناير,January,Mushairif,حديقة مشيرف," 19,388       "
2017,فبراير ,February,Mushairif,حديقة مشيرف," 4,715       "
2017,مارس,March,Mushairif,حديقة مشيرف," 14,085       "
2017,ابريل,April,Mushairif,حديقة مشيرف," 15,715       "
2017,مايو ,May,Mushairif,حديقة مشيرف," 5,382       "
2017,يونيو,June,Mushairif,حديقة مشيرف, 172       
2017,يوليو,July,Mushairif,حديقة مشيرف," 1,467       "
2017,اغسطس,August,Mushairif,حديقة مشيرف," 1,794       "
2017,سبتمبر,September,Mushairif,حديقة مشيرف," 3,695       "
2017,اكتوبر,October,Mushairif,حديقة مشيرف," 5,988       "
2017,نوفمبر,November,Mushairif,حديقة مشيرف," 9,646       "
2017,ديسيمبر,December,Mushairif,حديقة مشيرف," 17,915       "
2017,يناير,January,Al Helio, منتزه الحليو," 47,390       "
2017,فبراير ,February,Al Helio, منتزه الحليو," 26,896       "
2017,مارس,March,Al Helio, منتزه الحليو," 38,345       "
2017,ابريل,April,Al Helio, منتزه الحليو," 33,963       "
2017,مايو ,May,Al Helio, منتزه الحليو," 17,646       "
2017,يونيو,June,Al Helio, منتزه الحليو," 8,350       "
2017,يوليو,July,Al Helio, منتزه الحليو," 17,909       "
2017,اغسطس,August,Al Helio, منتزه الحليو," 17,601       "
2017,سبتمبر,September,Al Helio, منتزه الحليو," 41,122       "
2017,اكتوبر,October,Al Helio, منتزه الحليو," 40,017       "
2017,نوفمبر,November,Al Helio, منتزه الحليو," 62,059       "
2017,ديسيمبر,December,Al Helio, منتزه الحليو," 85,931       "
2017,يناير,January,Al Hekma,حديقة الحكمه," 3,758       "
2017,فبراير ,February,Al Hekma,حديقة الحكمه," 2,764       "
2017,مارس,March,Al Hekma,حديقة الحكمه," 5,105       "
2017,ابريل,April,Al Hekma,حديقة الحكمه," 5,989       "
