"no","company_name","status","license_no","expiry_date","address","country","email","phone_no","vat_certificate"
"10002","A. K. Advertising","Active","","","POBOX:000000   Dubai ","AE","","",""
"10003","McQuay LLC","Active","","","P.O.Box 28564   Dubai ","AE","mcquay@emirates.net.ae","",""
"10006","ACSYS Control Systems","Active","","","P.O.Box 15854   Dubai ","AE","abdallah.fawaz@acsyscontrol.ae","",""
"10007","AL ARABIA SAFETY & SECURITY LLC","Active","562347","10/12/2021 00:00:00","P.O.Box 60204   Dubai 60204","AE","badruddin.attili@al-majid.com","","100204499600003"
"10008","AL Aqili Flooring LLC","Active","","","P.O.Box 31558   Dubai ","AE","alaqili@emirates.net.ae","",""
"10009","AL GURG OFFICE FURNITURE   OFIS","Active","573465","11/13/2021 00:00:00","P.O.Box 325 OFIS Building Umm Hurair Road Oud Metha P.O. Box 325 Dubai United Arab Emirates Dubai 325","AE","admin@ofisme.com","43563700","100008678300003"
"10011","AL TAARAF SECURITY & SAFETY EQUIPMENT (L.L.C)","Active","","","P.O.Box 13865   Dubai ","AE","mirza@altaarafsecurity.com","",""
"10013","ALLEEWAN Restaurant","Active","","","POBOX:000000   Dubai ","AE","","",""
"10014","ATS TRAVEL L.L.C","Active","218031","03/24/2022 00:00:00","P.O.Box 4516   Dubai 4516","AE","noor@travelats.com","","100272442300003"
"10015","ARABIAN MARKETING CORP  FZCO","Active","","","P.O.Box 54646   Dubai ","AE","binoy@arabianmarketing.ae","",""
"10016","Ashoka Electrical & Mech. Eqpt. Co. (LLC)","Active","","","P.O.Box 4738   Dubai ","AE","emelkay@emirates.net.ae","",""
"10017","ATN Media FZ LLC","Active","","","P.O.Box 502090   Dubai ","AE","","",""
"10018","Abdullah Haider Trading Est ","Active","55508","03/22/2022 00:00:00","P.O.Box 5602 Office # 407 Habib AG Zurich Bank Building Bank Street Dubai 5602","AE","sales@dubaiinstruments.com","43518150","100035725900003"
"10019","Abela &  Co. L. L. C","Active","201716","01/30/2022 00:00:00","P.O.Box  1556  Dubai 1556","AE","abela.contracts@abelaandco.com","46060000","100046478200003"
"10020","Al  Tayer Motors LLC","Active","531360","01/14/2017 00:00:00","P.O.Box 3710   Dubai 7310","AE","ssabri@altayer.com","",""
"10021","Al Abbas Trading Company","Active","","","P.O.Box 327   Dubai ","AE","rajesh@alabbas.com","",""
"10023","Al Behar Al Sabaa Aluminium & Glass Cont.","Active","551105","03/03/2022 00:00:00","P.O.Box 69583  Sharjah 69583","AE","info@albeharalum.com","65348751","100000511400003"
