Year,Month_AR,Month_EN,Building Type_EN,Building Type_AR,  Number of building permits issued by type of building  
2015,يناير,January,Residential Villas,فيلا سكنية,162
2015,فبراير ,February,Residential Villas,فيلا سكنية,122
2015,مارس,March,Residential Villas,فيلا سكنية,136
2015,ابريل,April,Residential Villas,فيلا سكنية,143
2015,مايو ,May,Residential Villas,فيلا سكنية,179
2015,يونيو,June,Residential Villas,فيلا سكنية,181
2015,يوليو,July,Residential Villas,فيلا سكنية,168
2015,اغسطس,August,Residential Villas,فيلا سكنية,136
2015,سبتمبر,September,Residential Villas,فيلا سكنية,147
2015,اكتوبر,October,Residential Villas,فيلا سكنية,145
2015,نوفمبر,November,Residential Villas,فيلا سكنية,165
2015,ديسيمبر,December,Residential Villas,فيلا سكنية,134
2015,يناير,January,Residential and Commercial Buildings,مباني سكنية وتجارية,33
2015,فبراير ,February,Residential and Commercial Buildings,مباني سكنية وتجارية,30
2015,مارس,March,Residential and Commercial Buildings,مباني سكنية وتجارية,37
2015,ابريل,April,Residential and Commercial Buildings,مباني سكنية وتجارية,47
2015,مايو ,May,Residential and Commercial Buildings,مباني سكنية وتجارية,45
2015,يونيو,June,Residential and Commercial Buildings,مباني سكنية وتجارية,38
2015,يوليو,July,Residential and Commercial Buildings,مباني سكنية وتجارية,26
2015,اغسطس,August,Residential and Commercial Buildings,مباني سكنية وتجارية,31
2015,سبتمبر,September,Residential and Commercial Buildings,مباني سكنية وتجارية,40
2015,اكتوبر,October,Residential and Commercial Buildings,مباني سكنية وتجارية,24
2015,نوفمبر,November,Residential and Commercial Buildings,مباني سكنية وتجارية,48
2015,ديسيمبر,December,Residential and Commercial Buildings,مباني سكنية وتجارية,28
2015,يناير,January,Industrial Buildings,مباني صناعية,21
2015,فبراير ,February,Industrial Buildings,مباني صناعية,13
2015,مارس,March,Industrial Buildings,مباني صناعية,9
2015,ابريل,April,Industrial Buildings,مباني صناعية,10
2015,مايو ,May,Industrial Buildings,مباني صناعية,23
2015,يونيو,June,Industrial Buildings,مباني صناعية,18
2015,يوليو,July,Industrial Buildings,مباني صناعية,21
2015,اغسطس,August,Industrial Buildings,مباني صناعية,7
2015,سبتمبر,September,Industrial Buildings,مباني صناعية,18
2015,اكتوبر,October,Industrial Buildings,مباني صناعية,8
2015,نوفمبر,November,Industrial Buildings,مباني صناعية,12
2015,ديسيمبر,December,Industrial Buildings,مباني صناعية,13
2015,يناير,January,Government Buildings,مباني حكومية,5
2015,فبراير ,February,Government Buildings,مباني حكومية,0
2015,مارس,March,Government Buildings,مباني حكومية,1
2015,ابريل,April,Government Buildings,مباني حكومية,0
2015,مايو ,May,Government Buildings,مباني حكومية,0
2015,يونيو,June,Government Buildings,مباني حكومية,1
2015,يوليو,July,Government Buildings,مباني حكومية,1
2015,اغسطس,August,Government Buildings,مباني حكومية,2
2015,سبتمبر,September,Government Buildings,مباني حكومية,0
2015,اكتوبر,October,Government Buildings,مباني حكومية,2
2015,نوفمبر,November,Government Buildings,مباني حكومية,0
2015,ديسيمبر,December,Government Buildings,مباني حكومية,0
2015,يناير,January,Others,أخرى,60
2015,فبراير ,February,Others,أخرى,65
2015,مارس,March,Others,أخرى,76
2015,ابريل,April,Others,أخرى,67
2015,مايو ,May,Others,أخرى,66
2015,يونيو,June,Others,أخرى,62
2015,يوليو,July,Others,أخرى,37
2015,اغسطس,August,Others,أخرى,41
2015,سبتمبر,September,Others,أخرى,34
2015,اكتوبر,October,Others,أخرى,49
2015,نوفمبر,November,Others,أخرى,64
2015,ديسيمبر,December,Others,أخرى,52
2016,يناير,January,Residential Villas,فيلا سكنية,118
2016,فبراير ,February,Residential Villas,فيلا سكنية,120
2016,مارس,March,Residential Villas,فيلا سكنية,143
2016,ابريل,April,Residential Villas,فيلا سكنية,114
2016,مايو ,May,Residential Villas,فيلا سكنية,129
2016,يونيو,June,Residential Villas,فيلا سكنية,175
2016,يوليو,July,Residential Villas,فيلا سكنية,105
2016,اغسطس,August,Residential Villas,فيلا سكنية,108
2016,سبتمبر,September,Residential Villas,فيلا سكنية,120
2016,اكتوبر,October,Residential Villas,فيلا سكنية,175
2016,نوفمبر,November,Residential Villas,فيلا سكنية,153
2016,ديسيمبر,December,Residential Villas,فيلا سكنية,133
2016,يناير,January,Residential and Commercial Buildings,مباني سكنية وتجارية,28
