Year, Emirates_en	,Cows_count	,Latitude ,Longitude
2005, Abu Dhabi 	,28432		,24.425341,54.561326
2005, Dubai 		,4450		,25.200786,55.273149
2005, Sharjah 		,8224		,25.341013,55.441929
2005, Ajman 		,2043		,25.403138,55.498285
2005, UMQ 			,2564		,25.528705,55.554822
2005, RAK 			,6155		,25.786643,55.976375
2005, Fujirah 		,4035		,25.103085,56.326788
2006, Abu Dhabi 	,29924		,24.425341,54.561326
2006, Dubai 		,4684		,25.200786,55.273149
2006, Sharjah 		,8656		,25.341013,55.441929
2006, Ajman 		,2150		,25.403138,55.498285
2006, UMQ 			,2699		,25.528705,55.554822
2006, RAK 			,6478		,25.786643,55.976375
2006, Fujirah 		,4247		,25.103085,56.326788
2007, Abu Dhabi 	,31496		,24.425341,54.561326
2007, Dubai 		,4929		,25.200786,55.273149
2007, Sharjah 		,9110		,25.341013,55.441929
2007, Ajman 		,2263		,25.403138,55.498285
2007, UMQ ,2840,25.528705,55.554822
2007, RAK ,6818,25.786643,55.976375
2007, Fujirah ,4470,25.103085,56.326788
2008, Abu Dhabi ,33150,24.425341,54.561326
2008, Dubai ,5188,25.200786,55.273149
2008, Sharjah ,9589,25.341013,55.441929
2008, Ajman ,2382,25.403138,55.498285
2008, UMQ ,2989,25.528705,55.554822
2008, RAK ,7176,25.786643,55.976375
2008, Fujirah ,4704,25.103085,56.326788
2009, Abu Dhabi ,42992,24.425341,54.561326
2009, Dubai ,5428,25.200786,55.273149
2009, Sharjah ,10032,25.341013,55.441929
2009, Ajman ,2492,25.403138,55.498285
2009, UMQ ,3128,25.528705,55.554822
2009, RAK ,7508,25.786643,55.976375
2009, Fujirah ,4922,25.103085,56.326788
2010, Abu Dhabi ,39778,24.425341,54.561326
2010, Dubai ,5455,25.200786,55.273149
2010, Sharjah ,10081,25.341013,55.441929
2010, Ajman ,2504,25.403138,55.498285
2010, UMQ ,3143,25.528705,55.554822
2010, RAK ,7545,25.786643,55.976375
2010, Fujirah ,4946,25.103085,56.326788
2011, Abu Dhabi ,39692,24.425341,54.561326
2011, Dubai ,5774,25.200786,55.273149
2011, Sharjah ,10671,25.341013,55.441929
2011, Ajman ,2651,25.403138,55.498285
2011, UMQ ,3327,25.528705,55.554822
2011, RAK ,7986,25.786643,55.976375
2011, Fujirah ,5236,25.103085,56.326788
2012, Abu Dhabi ,21139,24.425341,54.561326
2012, Dubai ,2738,25.200786,55.273149
2012, Sharjah ,3642,25.341013,55.441929
2012, Ajman ,3027,25.403138,55.498285
2012, UMQ ,3822,25.528705,55.554822
2012, RAK ,5136,25.786643,55.976375
2012, Fujirah ,4817,25.103085,56.326788
2013, Abu Dhabi ,25615,24.425341,54.561326
2013, Dubai ,3940,25.200786,55.273149
2013, Sharjah ,7301,25.341013,55.441929
2013, Ajman ,1821,25.403138,55.498285
2013, UMQ ,2298,25.528705,55.554822
2013, RAK ,5475,25.786643,55.976375
2013, Fujirah ,3662,25.103085,56.326788
2014, Abu Dhabi ,30010,24.425341,54.561326
2014, Dubai ,3842,25.200786,55.273149
2014, Sharjah ,7161,25.341013,55.441929
2014, Ajman ,1771,25.403138,55.498285
2014, UMQ ,2230,25.528705,55.554822
2014, RAK ,5347,25.786643,55.976375
2014, Fujirah ,3665,25.103085,56.326788
2015, Abu Dhabi ,51197,24.425341,54.561326
2015, Dubai ,3839,25.200786,55.273149
2015, Sharjah ,7157,25.341013,55.441929
2015, Ajman ,1770,25.403138,55.498285
2015, UMQ ,2228,25.528705,55.554822
2015, RAK ,5343,25.786643,55.976375
2015, Fujirah ,3664,25.103085,56.326788
2016, Abu Dhabi ,46990,24.425341,54.561326
2016, Dubai ,3899,25.200786,55.273149
2016, Sharjah ,7273,25.341013,55.441929
2016, Ajman ,1798,25.403138,55.498285
2016, UMQ ,2263,25.528705,55.554822
2016, RAK ,5427,25.786643,55.976375
2016, Fujirah ,3727,25.103085,56.326788
2017, Abu Dhabi ,49449,24.425341,54.561326
2017, Dubai ,4076,25.200786,55.273149
2017, Sharjah ,7602,25.341013,55.441929
2017, Ajman ,1878,25.403138,55.498285
2017, UMQ ,2367,25.528705,55.554822
2017, RAK ,5672,25.786643,55.976375
2017, Fujirah ,3898,25.103085,56.326788
2018, Abu Dhabi ,40326,24.425341,54.561326
2018, Dubai ,4191,25.200786,55.273149
2018, Sharjah ,7853,25.341013,55.441929
2018, Ajman ,1937,25.403138,55.498285
2018, UMQ ,2434,25.528705,55.554822
2018, RAK ,5840,25.786643,55.976375
2018, Fujirah ,4053,25.103085,56.326788
