Year,Crop_En,Indecator_En,Value
2006,Alfalfa,Area (Dunum),22327.000
2006,Rhodegrass,Area (Dunum),220089.000
2006,Sorghum,Area (Dunum),7317.000
2006,Wheat,Area (Dunum),21.000
2006,Barley,Area (Dunum),177.000
2006,Tobacco,Area (Dunum),241.000
2006,Corn,Area (Dunum),470.000
2006,Others,Area (Dunum),3322.000
2006,Alfalfa,Quantity of Production (Ton),167440.000
2006,Rhodegrass,Quantity of Production (Ton),1463269.000
2006,Sorghum,Quantity of Production (Ton),45453.000
2006,Wheat,Quantity of Production (Ton),12.920
2006,Barley,Quantity of Production (Ton),141.400
2006,Tobacco,Quantity of Production (Ton),361.500
2006,Corn,Quantity of Production (Ton),1261.000
2006,Others,Quantity of Production (Ton),24435.000
2007,Alfalfa,Area (Dunum),25012.000
2007,Rhodegrass,Area (Dunum),191746.000
2007,Sorghum,Area (Dunum),7289.000
2007,Wheat,Area (Dunum),28.000
2007,Barley,Area (Dunum),122.000
2007,Tobacco,Area (Dunum),220.000
2007,Corn,Area (Dunum),646.000
2007,Others,Area (Dunum),2414.000
2007,Alfalfa,Quantity of Production (Ton),222415.000
2007,Rhodegrass,Quantity of Production (Ton),1703609.000
2007,Sorghum,Quantity of Production (Ton),43019.000
2007,Wheat,Quantity of Production (Ton),17.230
2007,Barley,Quantity of Production (Ton),97.440
2007,Tobacco,Quantity of Production (Ton),330.000
2007,Corn,Quantity of Production (Ton),1733.000
2007,Others,Quantity of Production (Ton),15397.000
2008,Alfalfa,Area (Dunum),26675.000
2008,Rhodegrass,Area (Dunum),254897.000
2008,Sorghum,Area (Dunum),8581.000
2008,Wheat,Area (Dunum),2727.000
2008,Barley,Area (Dunum),21.000
2008,Tobacco,Area (Dunum),132.000
2008,Corn,Area (Dunum),225.000
2008,Others,Area (Dunum),836.000
2008,Alfalfa,Quantity of Production (Ton),231385.000
2008,Rhodegrass,Quantity of Production (Ton),1365797.000
2008,Sorghum,Quantity of Production (Ton),50319.000
2008,Wheat,Quantity of Production (Ton),12307.000
2008,Barley,Quantity of Production (Ton),13.000
2008,Tobacco,Quantity of Production (Ton),105.000
2008,Corn,Quantity of Production (Ton),338.000
2008,Others,Quantity of Production (Ton),2243.000
2009,Alfalfa,Area (Dunum),17250.000
2009,Rhodegrass,Area (Dunum),247799.000
2009,Sorghum,Area (Dunum),12402.000
2009,Wheat,Area (Dunum),3071.000
2009,Barley,Area (Dunum),39.000
2009,Tobacco,Area (Dunum),154.000
2009,Corn,Area (Dunum),274.000
2009,Others,Area (Dunum),1222.000
2009,Alfalfa,Quantity of Production (Ton),148205.000
2009,Rhodegrass,Quantity of Production (Ton),1323933.000
2009,Sorghum,Quantity of Production (Ton),89300.000
2009,Wheat,Quantity of Production (Ton),8409.000
2009,Barley,Quantity of Production (Ton),24.000
2009,Tobacco,Quantity of Production (Ton),123.000
2009,Corn,Quantity of Production (Ton),411.000
2009,Others,Quantity of Production (Ton),3278.000
2010,Alfalfa,Area (Dunum),28240.000
2010,Rhodegrass,Area (Dunum),220626.000
2010,Sorghum,Area (Dunum),14570.000
2010,Wheat,Area (Dunum),49.000
2010,Barley,Area (Dunum),137.000
2010,Tobacco,Area (Dunum),309.000
2010,Corn,Area (Dunum),2816.000
2010,Others,Area (Dunum),28714.000
2010,Alfalfa,Quantity of Production (Ton),193239.000
2010,Rhodegrass,Quantity of Production (Ton),1207734.000
2010,Sorghum,Quantity of Production (Ton),125029.000
2010,Wheat,Quantity of Production (Ton),29.000
2010,Barley,Quantity of Production (Ton),110.000
2010,Tobacco,Quantity of Production (Ton),464.000
2010,Corn,Quantity of Production (Ton),5226.000
2010,Others,Quantity of Production (Ton),132172.000
2011,Alfalfa,Area (Dunum),19172.017
2011,Rhodegrass,Area (Dunum),184853.413
2011,Millet,Area (Dunum),11226.470
2011,Maize,Area (Dunum),3587.000
2011,Others,Area (Dunum),6786.631
2011,Alfalfa,Quantity of Production (Ton),90158.000
2011,Rhodegrass,Quantity of Production (Ton),379070.000
2011,Millet,Quantity of Production (Ton),89502.610
2011,Maize,Quantity of Production (Ton),3557.000
2011,Others,Quantity of Production (Ton),182271.448
2011,Alfalfa,Value of Production (000 AED),135237.000
2011,Rhodegrass,Value of Production (000 AED),602446.000
2011,Millet,Value of Production (000 AED),146935.000
2011,Maize,Value of Production (000 AED),9731.000
2011,Others,Value of Production (000 AED),227049.000
2012,Alfalfa,Area (Dunum),6026.106
2012,Alfalfa,Quantity of Production (Ton),44400.355
2012,Alfalfa,Value of Production (000 AED),119949.494
2012,Rhodegrass,Area (Dunum),29561.468
2012,Rhodegrass,Quantity of Production (Ton),106354.081
2012,Rhodegrass,Value of Production (000 AED),203245.162
2012,Millet,Area (Dunum),6887.057
2012,Millet,Quantity of Production (Ton),23759.500
2012,Millet,Value of Production (000 AED),70283.918
2012,Maize,Area (Dunum),810.056
2012,Maize,Quantity of Production (Ton),3429.984
2012,Maize,Value of Production (000 AED),10972.652
