year,sector_ar,type_ar,consumption_category,authority_en,arauthority_en,Tariff (Fils/Kwat.Hr)
2017,"??????? ???????
?????",???,??? ?? ????? 30,(DOE),????? ?????? - ??????,6.7
2017,"??????? ???????
?????",???,???? ?? 30,(DOE),????? ?????? - ??????,7.5
2017,"??????? ???????
?????",????,??? ?? ????? 400,(DOE),????? ?????? - ??????,6.7
2017,"??????? ???????
?????",????,???? ?? 400,(DOE),????? ?????? - ??????,7.5
2017,"??????? ???????
??? ?????",???,??? ?? ????? 20,(DOE),????? ?????? - ??????,26.8
2017,"??????? ???????
??? ?????",???,???? ?? 20,(DOE),????? ?????? - ??????,30.5
2017,"??????? ???????
??? ?????",????,??? ?? ????? 200,(DOE),????? ?????? - ??????,26.8
2017,"??????? ???????
??? ?????",????,???? ?? 200,(DOE),????? ?????? - ??????,30.5
2017,??????? ????????,,????,(DOE),????? ?????? - ??????,20
2017,??????? ????????,,????,(DOE),????? ?????? - ??????,20
2017,??????? ????????,,????,(DOE),????? ?????? - ??????,20
2017,??????? ????????,,????,(DOE),????? ?????? - ??????,20
2017,??????? ????????,,????,(DOE),????? ?????? - ??????,28.6
2017,??????? ????????,,????,(DOE),????? ?????? - ??????,4.5
2017,???????,,????,(DOE),????? ?????? - ??????,29.4
2017,???????,,????,(DOE),????? ?????? - ??????,29.4
2017,"??????? ???????
?????",???,1 -- 2000,(DEWA),???? ?????? ????? ???,7.5
2017,"??????? ???????
?????",???,2001 -- 4000,(DEWA),???? ?????? ????? ???,9
2017,"??????? ???????
?????",????,4001 -- 6000,(DEWA),???? ?????? ????? ???,10.5
2017,"??????? ???????
?????",????,6001 -- ??? ???,(DEWA),???? ?????? ????? ???,12.5
2017,"??????? ???????
??? ?????",???,1 -- 2000,(DEWA),???? ?????? ????? ???,23
2017,"??????? ???????
??? ?????",???,2001 -- 4000,(DEWA),???? ?????? ????? ???,28
2017,"??????? ???????
??? ?????",????,4001 -- 6000,(DEWA),???? ?????? ????? ???,32
2017,"??????? ???????
??? ?????",????,6001 -- ??? ???,(DEWA),???? ?????? ????? ???,38
2017,??????? ????????,,1 -- 2000,(DEWA),???? ?????? ????? ???,23
2017,??????? ????????,,2001 -- 4000,(DEWA),???? ?????? ????? ???,28
2017,??????? ????????,,4001 -- 6000,(DEWA),???? ?????? ????? ???,32
2017,??????? ????????,,6001 -- ??? ???,(DEWA),???? ?????? ????? ???,38
2017,??????? ????????,,1 -- 10000,(DEWA),???? ?????? ????? ???,23
2017,??????? ????????,,10001 -- ??? ???,(DEWA),???? ?????? ????? ???,38
2017,??????? ????????,,????,(DEWA),???? ?????? ????? ???,??????? ???????
2017,???????,,1 -- 10000,(DEWA),???? ?????? ????? ???,23
2017,???????,,10001 -- ??? ???,(DEWA),???? ?????? ????? ???,38
2017,"??????? ???????
?????",???,1 -- 2000,(SEWA),???? ?????? ????? ???????,7.5
2017,"??????? ???????
?????",???,2001 -- 4000,(SEWA),???? ?????? ????? ???????,7.5
2017,"??????? ???????
?????",????,4001 -- 6000,(SEWA),???? ?????? ????? ???????,7.5
2017,"??????? ???????
?????",????,6001 -- ??? ???,(SEWA),???? ?????? ????? ???????,7.5
2017,"??????? ???????
??? ?????",???,1 -- 2000,(SEWA),???? ?????? ????? ???????,30
2017,"??????? ???????
??? ?????",???,2001 -- 4000,(SEWA),???? ?????? ????? ???????,33
2017,"??????? ???????
??? ?????",????,4001 -- 6000,(SEWA),???? ?????? ????? ???????,37
2017,"??????? ???????
??? ?????",????,6001 -- ??? ???,(SEWA),???? ?????? ????? ???????,43
2017,??????? ????????,,1 -- 2000,(SEWA),???? ?????? ????? ???????,28
2017,??????? ????????,,2001 -- 4000,(SEWA),???? ?????? ????? ???????,33
2017,??????? ????????,,4001 -- 6000,(SEWA),???? ?????? ????? ???????,37
2017,??????? ????????,,6001 -- ??? ???,(SEWA),???? ?????? ????? ???????,43
2017,??????? ????????,,1 -- 10000,(SEWA),???? ?????? ????? ???????,44
2017,??????? ????????,,10001 -- ??? ???,(SEWA),???? ?????? ????? ???????,44
2017,??????? ????????,,????,(SEWA),???? ?????? ????? ???????,7.5
2017,???????,,1 -- 10000,(SEWA),???? ?????? ????? ???????,40
2017,???????,,10001 -- ??? ???,(SEWA),???? ?????? ????? ???????,40
2017,"??????? ???????
?????",???,1 -- 2000,(FEWA),?????? ????????? ???????? ??????,7.5
2017,"??????? ???????
?????",???,2001 -- 4000,(FEWA),?????? ????????? ???????? ??????,7.5
2017,"??????? ???????
?????",????,4001 -- 6000,(FEWA),?????? ????????? ???????? ??????,7.5
2017,"??????? ???????
?????",????,6001 -- ??? ???,(FEWA),?????? ????????? ???????? ??????,7.5
2017,"??????? ???????
??? ?????",???,1 -- 2000,(FEWA),?????? ????????? ???????? ??????,28
2017,"??????? ???????
??? ?????",???,2001 -- 4000,(FEWA),?????? ????????? ???????? ??????,33
