Year,Country(English),HSCODE,Item - English,Import Weight(Kg),Import Value(Dhs)
2008,Afghanistan,02013000,- Boneless,,
2008,Afghanistan,02022000,- Other cuts with bone in,,
2008,Afghanistan,02023010,- - - Minced,,
2008,Afghanistan,02023090,- - - Other,,
2008,Afghanistan,02043000,"- Carcasses and half-carcasses of lambs, frozen",,
2008,Afghanistan,02044310,- - - Minced,,
2008,Afghanistan,02045011,- - - - Fresh or chilled,,
2008,Afghanistan,02071200,"- - Not cut in pieces, frozen",,
2008,Afghanistan,02071400,"- - Cuts and offal, frozen",,
2008,Afghanistan,02072500,"- - Not cut in pieces, frozen",,
2009,Afghanistan,02013000,- Boneless,,
2009,Afghanistan,02022000,- Other cuts with bone in,,
2009,Afghanistan,02023010,- - - Minced,,
2009,Afghanistan,02023090,- - - Other,,
2009,Afghanistan,02041000,"- Carcasses and half-carcasses of lambs, fresh or chilled",,
2009,Afghanistan,02042300,- - Boneless,,
2009,Afghanistan,02043000,"- Carcasses and half-carcasses of lambs, frozen",,
2009,Afghanistan,02044310,- - - Minced,,
2009,Afghanistan,02044390,- - - Other,,
2009,Afghanistan,02045011,- - - - Fresh or chilled,,
2009,Afghanistan,02071200,"- - Not cut in pieces, frozen",,
2009,Afghanistan,02071400,"- - Cuts and offal, frozen",,
2009,Afghanistan,02072400,"- - Not cut in pieces, fresh or chilled",,
2009,Afghanistan,02072500,"- - Not cut in pieces, frozen",,
2009,Afghanistan,02072700,"- - Cuts and offal, frozen",,
2009,Afghanistan,02081010,- - - Fresh or chilled,,
2009,Afghanistan,02089032,- - - - Frozen,,
2009,Afghanistan,02089099,- - - - Other,,
2010,Afghanistan,02013000,- Boneless,,
2010,Afghanistan,02022000,- Other cuts with bone in,,
2010,Afghanistan,02023010,- - - Minced,,
2010,Afghanistan,02023090,- - - Other,,
2010,Afghanistan,02032200,"- - Hams, shoulders and cuts thereof, with bone in",,
2010,Afghanistan,02032900,- - Other,,
2010,Afghanistan,02042300,- - Boneless,,
2010,Afghanistan,02043000,"- Carcasses and half-carcasses of lambs, frozen",,
2010,Afghanistan,02045022,- - - - Frozen,,
2010,Afghanistan,02071200,"- - Not cut in pieces, frozen",,
2010,Afghanistan,02071400,"- - Cuts and offal, frozen",,
2010,Afghanistan,02073300,"- - Not cut in pieces, frozen",,
2011,Afghanistan,02012000,- Other cuts with bone in,,
2011,Afghanistan,02013000,- Boneless,,
2011,Afghanistan,02022000,- Other cuts with bone in,,
2011,Afghanistan,02023010,- - - Minced,,
2011,Afghanistan,02023090,- - - Other,,
