Emirates_EN,Nationality_EN,sex_EN,year ,value 
Abu Dhabi,National,Male,1975,29238
Dubai,National,Male,1975,26096
Al Sharjah,National,Male,1975,21318
Ajman,National,Male,1975,3933
Umm Al - Quwain,National,Male,1975,2301
Ras Al Khaima,National,Male,1975,15277
Al Fujairah,National,Male,1975,6869
Abu Dhabi,National,female ,1975,25648
Dubai,National,female ,1975,24720
Al Sharjah,National,female ,1975,19909
Ajman,National,female ,1975,3509
Umm Al - Quwain,National,female,1975,2157
Ras Al Khaima,National,female ,1975,14336
Al Fujairah,National,female ,1975,6233
Abu Dhabi,Non-National,Male,1975,125820
Dubai,Non-National,Male,1975,102725
Al Sharjah,Non-National,Male,1975,29937
Ajman,Non-National,Male,1975,6587
Umm Al - Quwain,Non-National,Male,1975,1962
Ras Al Khaima,Non-National,Male,1975,11261
Al Fujairah,Non-National,Male,1975,3103
Abu Dhabi,Non-National,female ,1975,31106
Dubai,Non-National,female ,1975,29646
Al Sharjah,Non-National,female ,1975,7626
Ajman,Non-National,female ,1975,2661
Umm Al - Quwain,Non-National,female ,1975,488
Ras Al Khaima,Non-National,female ,1975,2971
Al Fujairah,Non-National,female ,1975,450
Abu Dhabi,National,Male,1980,47993
Dubai,National,Male,1980,32213
Al Sharjah,National,Male,1980,30945
Ajman,National,Male,1980,6866
Umm Al - Quwain,National,Male,1980,2956
Ras Al Khaima,National,Male,1980,20116
Al Fujairah,National,Male,1980,9484
Abu Dhabi,National,female ,1980,42799
Dubai,National,female ,1980,30303
Al Sharjah,National,female ,1980,29550
Ajman,National,female ,1980,6510
Umm Al - Quwain,National,female ,1980,2889
Ras Al Khaima,National,female ,1980,19032
Al Fujairah,National,female ,1980,8888
Abu Dhabi,Non-National,Male,1980,283695
Dubai,Non-National,Male,1980,155501
Al Sharjah,Non-National,Male,1980,71840
Ajman,Non-National,Male,1980,15378
Umm Al - Quwain,Non-National,Male,1980,5004
Ras Al Khaima,Non-National,Male,1980,26409
Al Fujairah,Non-National,Male,1980,11312
Abu Dhabi,Non-National,female ,1980,77361
Dubai,Non-National,female ,1980,58284
Al Sharjah,Non-National,female ,1980,26982
Ajman,Non-National,female ,1980,7346
Umm Al - Quwain,Non-National,female ,1980,1577
Ras Al Khaima,Non-National,female ,1980,8361
Al Fujairah,Non-National,female ,1980,2505
Abu Dhabi,National,Male,1985,69975
Dubai,National,Male,1985,39221
Al Sharjah,National,Male,1985,40333
Ajman,National,Male,1985,9827
Umm Al - Quwain,National,Male,1985,4430
Ras Al Khaima,National,Male,1985,24835
Al Fujairah,National,Male,1985,13536
Abu Dhabi,National,female ,1985,66007
Dubai,National,female ,1985,37471
Al Sharjah,National,female ,1985,39070
Ajman,National,female ,1985,9426
Umm Al - Quwain,National,female ,1985,4411
Ras Al Khaima,National,female ,1985,24482
Al Fujairah,National,female ,1985,13090
Abu Dhabi,Non-National,Male,1985,310278
Dubai,Non-National,Male,1985,207958
Al Sharjah,Non-National,Male,1985,101518
Ajman,Non-National,Male,1985,23008
Umm Al - Quwain,Non-National,Male,1985,7229
Ras Al Khaima,Non-National,Male,1985,31578
Al Fujairah,Non-National,Male,1985,11874
Abu Dhabi,Non-National,female ,1985,119776
Dubai,Non-National,female ,1985,86138
Al Sharjah,Non-National,female ,1985,47396
Ajman,Non-National,female ,1985,12285
Umm Al - Quwain,Non-National,female ,1985,3215
Ras Al Khaima,Non-National,female ,1985,15683
Al Fujairah,Non-National,female ,1985,5253
Abu Dhabi,National,Male,1995,113365
Dubai,National,Male,1995,54330
Al Sharjah,National,Male,1995,53945
Ajman,National,Male,1995,14855
Umm Al - Quwain,National,Male,1995,6464
Ras Al Khaima,National,Male,1995,33556
Al Fujairah,National,Male,1995,20545
Abu Dhabi,National,female ,1995,109262
Dubai,National,female ,1995,53411
Al Sharjah,National,female ,1995,52976
Ajman,National,female ,1995,13977
Umm Al - Quwain,National,female ,1995,6568
Ras Al Khaima,National,female ,1995,33820
Al Fujairah,National,female ,1995,20256
Abu Dhabi,Non-National,Male,1995,537379
Dubai,Non-National,Male,1995,423879
Al Sharjah,Non-National,Male,1995,200369
Ajman,Non-National,Male,1995,57977
Umm Al - Quwain,Non-National,Male,1995,14483
Ras Al Khaima,Non-National,Male,1995,50436
Al Fujairah,Non-National,Male,1995,25221
Abu Dhabi,Non-National,female ,1995,182457
Dubai,Non-National,female ,1995,157800
Al Sharjah,Non-National,female ,1995,95502
Ajman,Non-National,female ,1995,34682
Umm Al - Quwain,Non-National,female ,1995,7846
Ras Al Khaima,Non-National,female ,1995,25522
Al Fujairah,Non-National,female ,1995,10158
Abu Dhabi,National,Male,2005,176926
Dubai,National,Male,2005,68995
Al Sharjah,National,Male,2005,71307
Ajman,National,Male,2005,20155
Umm Al - Quwain,National,Male,2005,7914
Ras Al Khaima,National,Male,2005,44299
Al Fujairah,National,Male,2005,28321
Abu Dhabi,National,female ,2005,173351
Dubai,National,female ,2005,68578
Al Sharjah,National,female ,2005,66965
Ajman,National,female ,2005,19076
Umm Al - Quwain,National,female ,2005,7959
Ras Al Khaima,National,female ,2005,43549
Al Fujairah,National,female ,2005,28100
Abu Dhabi,Non-National,Male,2005,749893
Dubai,Non-National,Male,2005,920310
Al Sharjah,Non-National,Male,2005,448927
Ajman,Non-National,Male,2005,111529
Umm Al - Quwain,Non-National,Male,2005,22170
Ras Al Khaima,Non-National,Male,2005,85143
Al Fujairah,Non-National,Male,2005,50263
Abu Dhabi,Non-National,female ,2005,299314
Dubai,Non-National,female ,2005,263570
Al Sharjah,Non-National,female ,2005,206374
Ajman,Non-National,female ,2005,56237
Umm Al - Quwain,Non-National,female ,2005,11116
Ras Al Khaima,Non-National,female ,2005,37072
Al Fujairah,Non-National,female ,2005,19014
