Academic Year_EN,Semester_En,College_EN,Degree_EN,Nationality_EN,Gender_EN,Total
2018-2019,Fall 2018,Business & Economics,Bachelor ,National,Female,"1,327"
2018-2019,Fall 2018,Business & Economics,Bachelor ,National,Male,305
2018-2019,Fall 2018,Business & Economics,Bachelor ,Non-national,Female,125
2018-2019,Fall 2018,Business & Economics,Bachelor ,Non-national,Male,125
2018-2019,Fall 2018,Education,Bachelor ,National,Female,611
2018-2019,Fall 2018,Education,Bachelor ,National,Male,3
2018-2019,Fall 2018,Education,Bachelor ,Non-national,Female,56
2018-2019,Fall 2018,Education,Bachelor ,Non-national,Male,2
2018-2019,Fall 2018,Engineering,Bachelor ,National,Female,"1,773"
2018-2019,Fall 2018,Engineering,Bachelor ,National,Male,609
2018-2019,Fall 2018,Engineering,Bachelor ,Non-national,Female,162
2018-2019,Fall 2018,Engineering,Bachelor ,Non-national,Male,160
2018-2019,Fall 2018,Agriculture & Veterinary Med.,Bachelor ,National,Female,587
2018-2019,Fall 2018,Agriculture & Veterinary Med.,Bachelor ,National,Male,36
2018-2019,Fall 2018,Agriculture & Veterinary Med.,Bachelor ,Non-national,Female,72
2018-2019,Fall 2018,Agriculture & Veterinary Med.,Bachelor ,Non-national,Male,13
2018-2019,Fall 2018,Humanities & Social Sciences,Bachelor ,National,Female,"3,224"
2018-2019,Fall 2018,Humanities & Social Sciences,Bachelor ,National,Male,270
2018-2019,Fall 2018,Humanities & Social Sciences,Bachelor ,Non-national,Female,232
2018-2019,Fall 2018,Humanities & Social Sciences,Bachelor ,Non-national,Male,71
2018-2019,Fall 2018,Information Technology,Bachelor ,National,Female,853
2018-2019,Fall 2018,Information Technology,Bachelor ,National,Male,314
2018-2019,Fall 2018,Information Technology,Bachelor ,Non-national,Female,28
2018-2019,Fall 2018,Information Technology,Bachelor ,Non-national,Male,34
2018-2019,Fall 2018,Law,Bachelor ,National,Female,655
2018-2019,Fall 2018,Law,Bachelor ,National,Male,186
2018-2019,Fall 2018,Law,Bachelor ,Non-national,Female,61
2018-2019,Fall 2018,Law,Bachelor ,Non-national,Male,34
2018-2019,Fall 2018,Medicine & Health Sciences,Bachelor ,National,Female,403
2018-2019,Fall 2018,Medicine & Health Sciences,Bachelor ,National,Male,112
2018-2019,Fall 2018,Medicine & Health Sciences,Bachelor ,Non-national,Female,15
2018-2019,Fall 2018,Medicine & Health Sciences,Bachelor ,Non-national,Male,15
2018-2019,Fall 2018,Science,Bachelor ,National,Female,955
2018-2019,Fall 2018,Science,Bachelor ,National,Male,85
2018-2019,Fall 2018,Science,Bachelor ,Non-national,Female,215
2018-2019,Fall 2018,Science,Bachelor ,Non-national,Male,84
2018-2019,Spring 2019,Business & Economics,Bachelor ,National,Female,"1,178"
2018-2019,Spring 2019,Business & Economics,Bachelor ,National,Male,298
2018-2019,Spring 2019,Business & Economics,Bachelor ,Non-national,Female,111
2018-2019,Spring 2019,Business & Economics,Bachelor ,Non-national,Male,97
2018-2019,Spring 2019,Education,Bachelor ,National,Female,640
2018-2019,Spring 2019,Education,Bachelor ,National,Male,4
2018-2019,Spring 2019,Education,Bachelor ,Non-national,Female,53
2018-2019,Spring 2019,Education,Bachelor ,Non-national,Male,1
2018-2019,Spring 2019,Engineering,Bachelor ,National,Female,"1,585"
2018-2019,Spring 2019,Engineering,Bachelor ,National,Male,677
2018-2019,Spring 2019,Engineering,Bachelor ,Non-national,Female,138
2018-2019,Spring 2019,Engineering,Bachelor ,Non-national,Male,153
2018-2019,Spring 2019,Agriculture & Veterinary Med.,Bachelor ,National,Female,537
2018-2019,Spring 2019,Agriculture & Veterinary Med.,Bachelor ,National,Male,33
2018-2019,Spring 2019,Agriculture & Veterinary Med.,Bachelor ,Non-national,Female,66
2018-2019,Spring 2019,Agriculture & Veterinary Med.,Bachelor ,Non-national,Male,18
2018-2019,Spring 2019,Humanities & Social Sciences,Bachelor ,National,Female,"2,969"
2018-2019,Spring 2019,Humanities & Social Sciences,Bachelor ,National,Male,282
2018-2019,Spring 2019,Humanities & Social Sciences,Bachelor ,Non-national,Female,193
2018-2019,Spring 2019,Humanities & Social Sciences,Bachelor ,Non-national,Male,59
2018-2019,Spring 2019,Information Technology,Bachelor ,National,Female,785
2018-2019,Spring 2019,Information Technology,Bachelor ,National,Male,338
2018-2019,Spring 2019,Information Technology,Bachelor ,Non-national,Female,24
2018-2019,Spring 2019,Information Technology,Bachelor ,Non-national,Male,36
2018-2019,Spring 2019,Law,Bachelor ,National,Female,594
2018-2019,Spring 2019,Law,Bachelor ,National,Male,165
2018-2019,Spring 2019,Law,Bachelor ,Non-national,Female,53
2018-2019,Spring 2019,Law,Bachelor ,Non-national,Male,24
2018-2019,Spring 2019,Medicine & Health Sciences,Bachelor ,National,Female,394
2018-2019,Spring 2019,Medicine & Health Sciences,Bachelor ,National,Male,102
2018-2019,Spring 2019,Medicine & Health Sciences,Bachelor ,Non-national,Female,15
2018-2019,Spring 2019,Medicine & Health Sciences,Bachelor ,Non-national,Male,15
2018-2019,Spring 2019,Science,Bachelor ,National,Female,909
2018-2019,Spring 2019,Science,Bachelor ,National,Male,74
2018-2019,Spring 2019,Science,Bachelor ,Non-national,Female,198
2018-2019,Spring 2019,Science,Bachelor ,Non-national,Male,69
2019-2020,Fall 2019,Business & Economics,Bachelor ,National,Female,"1,089"
2019-2020,Fall 2019,Business & Economics,Bachelor ,National,Male,268
2019-2020,Fall 2019,Business & Economics,Bachelor ,Non-national,Female,97
