HS code,description_EN,unit,year,number
01,live animals,aed,2008,"51,888,339"
01,live animals,kg,2008,"9,647,487"
01,live animals,aed,2009,"73,526,801"
01,live animals,kg,2009,"11,018,402"
01,live animals,aed,2010,"36,961,006"
01,live animals,kg,2010,"4,697,786"
01,live animals,aed,2011,"50,288,713"
01,live animals,kg,2011,"5,029,630"
01,live animals,aed,2012,"55,184,063"
01,live animals,kg,2012,"5,148,417"
01,live animals,aed,2013,"98,600,296"
01,live animals,kg,2013,"11,599,413"
01,live animals,aed,2014,"119,299,209"
01,live animals,kg,2014,"15,135,095"
01,live animals,aed,2015,"135,232,928"
01,live animals,kg,2015,"12,672,573"
01,live animals,aed,2016,"100,497,473"
01,live animals,kg,2016,"6,847,753"
02,meat and edible meat offal,aed,2008,"5,498,530"
02,meat and edible meat offal,kg,2008,"942,542"
02,meat and edible meat offal,aed,2009,"5,043,447"
02,meat and edible meat offal,kg,2009,"801,482"
02,meat and edible meat offal,aed,2010,"41,130,598"
02,meat and edible meat offal,kg,2010,"3,374,321"
02,meat and edible meat offal,aed,2011,"7,017,942"
02,meat and edible meat offal,kg,2011,"829,842"
02,meat and edible meat offal,aed,2012,"19,213,506"
02,meat and edible meat offal,kg,2012,"1,841,703"
02,meat and edible meat offal,aed,2013,"31,682,625"
02,meat and edible meat offal,kg,2013,"2,834,774"
02,meat and edible meat offal,aed,2014,"28,040,654"
02,meat and edible meat offal,kg,2014,"2,448,341"
02,meat and edible meat offal,aed,2015,"45,994,842"
02,meat and edible meat offal,kg,2015,"4,211,801"
02,meat and edible meat offal,aed,2016,"40,410,973"
02,meat and edible meat offal,kg,2016,"3,846,961"
03,"fish, crustaceans,molluscs & aquatic invertebrates",aed,2008,"123,075,680"
03,"fish, crustaceans,molluscs & aquatic invertebrates",kg,2008,"12,828,611"
03,"fish, crustaceans,molluscs & aquatic invertebrates",aed,2009,"106,984,349"
03,"fish, crustaceans,molluscs & aquatic invertebrates",kg,2009,"11,443,579"
03,"fish, crustaceans,molluscs & aquatic invertebrates",aed,2010,"143,544,022"
03,"fish, crustaceans,molluscs & aquatic invertebrates",kg,2010,"12,630,132"
03,"fish, crustaceans,molluscs & aquatic invertebrates",aed,2011,"173,373,953"
03,"fish, crustaceans,molluscs & aquatic invertebrates",kg,2011,"15,131,149"
03,"fish, crustaceans,molluscs & aquatic invertebrates",aed,2012,"245,403,566"
03,"fish, crustaceans,molluscs & aquatic invertebrates",kg,2012,"20,132,772"
03,"fish, crustaceans,molluscs & aquatic invertebrates",aed,2013,"258,940,961"
03,"fish, crustaceans,molluscs & aquatic invertebrates",kg,2013,"27,148,472"
03,"fish, crustaceans,molluscs & aquatic invertebrates",aed,2014,"273,395,273"
03,"fish, crustaceans,molluscs & aquatic invertebrates",kg,2014,"28,608,130"
03,"fish, crustaceans,molluscs & aquatic invertebrates",aed,2015,"322,584,492"
03,"fish, crustaceans,molluscs & aquatic invertebrates",kg,2015,"42,066,933"
03,"fish, crustaceans,molluscs & aquatic invertebrates",aed,2016,"357,713,068"
03,"fish, crustaceans,molluscs & aquatic invertebrates",kg,2016,"35,508,196"
04,"dairy produce, honey & edible products of animals",aed,2008,"109,544,539"
04,"dairy produce, honey & edible products of animals",kg,2008,"21,182,173"
04,"dairy produce, honey & edible products of animals",aed,2009,"587,785,686"
04,"dairy produce, honey & edible products of animals",kg,2009,"49,961,915"
04,"dairy produce, honey & edible products of animals",aed,2010,"701,534,052"
04,"dairy produce, honey & edible products of animals",kg,2010,"56,616,617"
04,"dairy produce, honey & edible products of animals",aed,2011,"949,753,595"
04,"dairy produce, honey & edible products of animals",kg,2011,"66,068,366"
04,"dairy produce, honey & edible products of animals",aed,2012,"917,347,865"
