station_name,line_name,station_location_longitiude,station_location_latitiude,loading_date,ingestion_id
Jumeirah Beach Residence 1,Tram Line,55.138233,25.079738,20171119,4488
Jumeirah Beach Residence 2,Tram Line,55.132232,25.073814,20171119,4488
Jumeirah Lakes Towers,Tram Line,55.137764,25.07148,20171119,4488
Dubai Marina Mall,Tram Line,55.141974,25.0763,20171119,4488
Dubai Marina,Tram Line,55.14691,25.080804,20171119,4488
Marina Towers,Tram Line,55.150052,25.086642,20171119,4488
Mina Seyahi,Tram Line,55.148605,25.091059,20171119,4488
Media City,Tram Line,55.151984,25.0945,20171119,4488
Palm Jumeirah,Tram Line,55.155743,25.098284,20171119,4488
Knowledge Village,Tram Line,55.161581,25.104252,20171119,4488
Al Sufouh,Tram Line,55.165147,25.108091,20171119,4488
