Year,District_EN,Indicator_EN,Value 
2002,Abu Dhabi,Ambulances,79
2002,Abu Dhabi,Transport Vehicles,137
2002,Abu Dhabi,Transport Vehicles - Other Vehicles,1
2002,Abu Dhabi,Transport Vehicles - Private,164
2002,Abu Dhabi,Unused Cars,0
2002,Ajman,Ambulances,8
2002,Ajman,Transport Vehicles,10
2002,Ajman,Transport Vehicles - Other Vehicles,1
2002,Ajman,Transport Vehicles - Private,14
2002,Ajman,Unused Cars,0
2002,Al Ain,Ambulances,21
2002,Al Ain,Transport Vehicles,38
2002,Al Ain,Transport Vehicles - Other Vehicles,6
2002,Al Ain,Transport Vehicles - Private,34
2002,Al Ain,Unused Cars,2
2002,Dubai,Ambulances,6
2002,Dubai,Transport Vehicles,25
2002,Dubai,Transport Vehicles - Other Vehicles,1
2002,Dubai,Transport Vehicles - Private,36
2002,Dubai,Unused Cars,0
2002,Fujairah,Ambulances,10
2002,Fujairah,Transport Vehicles,13
2002,Fujairah,Transport Vehicles - Other Vehicles,1
2002,Fujairah,Transport Vehicles - Private,22
2002,Fujairah,Unused Cars,0
2002,RAK,Ambulances,17
2002,RAK,Transport Vehicles,20
2002,RAK,Transport Vehicles - Other Vehicles,4
2002,RAK,Transport Vehicles - Private,30
2002,RAK,Unused Cars,1
2002,Sharjah,Ambulances,24
2002,Sharjah,Transport Vehicles,27
2002,Sharjah,Transport Vehicles - Other Vehicles,4
2002,Sharjah,Transport Vehicles - Private,43
2002,Sharjah,Unused Cars,1
2002,UAQ,Ambulances,7
2002,UAQ,Transport Vehicles,8
2002,UAQ,Transport Vehicles - Other Vehicles,4
2002,UAQ,Transport Vehicles - Private,20
2002,UAQ,Unused Cars,0
2002,Western Region,Ambulances,27
2002,Western Region,Transport Vehicles,25
2002,Western Region,Transport Vehicles - Other Vehicles,0
2002,Western Region,Transport Vehicles - Private,12
2002,Western Region,Unused Cars,0
