Year,Month_AR,Month_EN,Category_EN,Category_AR,Number of Issued Reports from BML
2017,يناير,January,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,995 "
2017,فبراير ,February,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,530 "
2017,مارس,March,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,701 "
2017,ابريل,April,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,796 "
2017,مايو ,May,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 4,129 "
2017,يونيو,June,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 2,960 "
2017,يوليو,July,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,390 "
2017,اغسطس,August,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,383 "
2017,سبتمبر,September,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,077 "
2017,اكتوبر,October,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,425 "
2017,نوفمبر,November,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,479 "
2017,ديسيمبر,December,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,427 "
2018,يناير,January,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,907 "
2018,فبراير ,February,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,419 "
2018,مارس,March,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,718 "
2018,ابريل,April,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 4,081 "
2018,مايو ,May,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,481 "
2018,يونيو,June,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 2,550 "
2018,يوليو,July,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,349 "
2018,اغسطس,August,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 2,789 "
2018,سبتمبر,September,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 2,703 "
2018,اكتوبر,October,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 3,063 "
2018,نوفمبر,November,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 2,921 "
2018,ديسيمبر,December,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 2,749 "
2019,يناير,January,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 2,941 "
2019,فبراير ,February,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 2,439 "
2019,مارس,March,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 2,489 "
2019,ابريل,April,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 2,364 "
2019,مايو ,May,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 2,379 "
2019,يونيو,June,Number of Issued Reports from BML,تقارير مختبر فحص مواد البناء  ," 1,735 "
